ID,Activity,Step,Title,User Story,Acceptance Criteria,Slice,Owner,Outcome,Signals
1,Define Outcomes,Outcome Registry,Create business outcome,"As a PO, I need to define what success looks like so we can measure value delivery.","KPI has: name, formula, unit, target; Owner assigned from user registry; Formula parseable and valid; Stored with unique ID",Cap-1,PO,KPI-001,B
2,Define Outcomes,Outcome Registry,Link outcome to step,"As a PO, I need to connect outcomes to process steps so attribution is clear.",Outcome→Step relationship stored; Many-to-one supported; Appears in step panel; Validation prevents orphans,Cap-1,PO,KPI-001,B
3,Define Outcomes,Process Mapping,Map single step,"As a PO, I need to document one process step so its purpose is clear.","Step has: name, description, type; Links to parent stage; Business function documented; Step type ∈ {validation, execution, fulfillment}",Cap-1,PO,KPI-001,B
4,Define Outcomes,Thresholds,Set success thresholds,"As a PO/SRE, I need to define success/warn/fail bands so alerts fire appropriately.","States = {success, warn, fail}; Numeric boundaries set; No overlapping ranges; Machine-readable format",Cap-1,PO/SRE,KPI-001,B
5,Instrument Signals,Business Signals,Configure business signals,"As a PO, I need to measure business value so outcomes are observable.","1-3 business signals defined; Each has: owner, source, aggregation, freshness_slo; Links to outcome; Source validates against catalog",Cap-1,PO,KPI-001,B ≥1
6,Instrument Signals,Process Signals,Configure process signals,"As a Dev, I need to verify correct execution so logic errors are caught.","1-3 process signals defined; Pass/fail conditions explicit; Each has: owner, source, aggregation, freshness_slo; Exception handling defined",Cap-1,Dev,KPI-001,P ≥1
7,Instrument Signals,System Signals,Configure system signals,"As an SRE, I need to monitor infrastructure so platform issues are visible.","1-3 system signals defined; Each has: owner, source, aggregation, freshness_slo; Latency/availability/error coverage; Collection interval specified",Cap-1,SRE,KPI-001,S ≥1
8,Validate Readiness,Template Validation,Check completeness,"As a Facilitator, I need to verify configuration so nothing is missed.",Validates all required fields present; Lists specific missing items; Suggests values where possible; Returns completeness score,Cap-1,Facilitator,All,B/P/S
9,Validate Readiness,Readiness Gating,Calculate readiness,"As a Facilitator, I need to gate promotion so only ready steps go live.","Checks: KPI.{name, formula, unit, target, owner}; Checks: ≥1 signal each type with required fields; Returns: {pass|block, missing:[], timestamp}; Blocks MVP inclusion if fail",Cap-1,Facilitator,All,B/P/S ✓
10,Communicate & Act,Reference Cards,Generate mini card,"As a PO, I need a summary card so stakeholders understand quickly.","Auto-generates from template; Includes: why matters, KPIs, signals, owners; Max one page; Includes action table",Cap-1,PO,KPI-001,B/P/S ✓
